"id","obligation"
77,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (A2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
78,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
79,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
80,"Behandlung von im Herbst gesäten Kulturen."
81,"Die Etiketten von Säcken mit behandeltem Saatgut sind mit folgender Angabe zu versehen: ""Öffnen der Saatgutsäcke und Beladen der Sämaschine nur mit Schutzhandschuhen. Entwicklung und Einatmen von Staub vermeiden."""
82,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine)."
83,"Zusatz zu den durch die Firma zu bestimmenden Mischungspartnern."
84,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
85,"Spritzen."
86,"Auch für die Luftapplikation."
87,"Keine Anwendung zusammen mit einem Sojalecithin-haltigen Haft- oder Netzmittel."
88,"Maximal 6 kg Kupfer-Metall je Hektar und Jahr; innert 5 aufeinanderfolgender Jahre maximal 20 kg Kupfer-Metall je Hektar (Kupferbilanzierung)."
89,"2-3 Behandlungen im Abstand von 8 Tagen."
90,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
91,"Nur an Tagen mit Tagestemperaturen zwischen 10 und 20°C und Nachttemperaturen über 5°C anwenden."
92,"Nur gegen Larvenstadien."
93,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
94,"Beim Ansetzen der Spritzbrühe müssen Schutzhandschuhe getragen werden."
95,"Pflanzen allseitig gut benetzen, da Wirkung nur bei direktem Kontakt."
96,"Maximal 2 Behandlungen pro Kultur und Jahr."
97,"Maximal 3 Behandlungen pro Jahr."
98,"Das Produkt kann Schäden an der Kultur hervorrufen. Es sind die vom Bewilligungsinhaber festgelegten Vorsorgemassnahmen einzuhalten."
99,"In Tankmischung mit organischen Fungiziden genügt die Hälfte der aufgeführten Konzentration."
100,"Als Zusatz zu den durch die Firma zu bestimmenden Herbiziden."
101,"Vor Gebrauch schütteln."
102,"Einzelpflanzenbehandlung gemäss Direktzahlungsverordnung (DZV)."
103,"Maximal 2 Behandlungen pro Parzelle und Jahr mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält."
104,"Die Etiketten von Säcken mit behandeltem Saatgut sind mit folgenden Angaben zu versehen:  - Gebeiztes Saatgut. Nicht einnehmen! Überreste dürfen (auch gewaschen) nicht als Futter oder Lebensmittel verwendet werden. - Die Handelsbezeichnung, Wirkstoff(e), sowie die Sicherheitshinweise des Saatbeizmittels. - Zum Schutz von Vögeln und wildlebenden Säugetieren muss das behandelte Saatgut vollständig in den Boden eingearbeitet werden; es ist sicherzustellen, dass das behandelte Saatgut auch am Ende der Saatreihen vollständig in den Boden eingearbeitet ist. - Zum Schutz von Vögeln und wildlebenden Säugetieren muss verschüttetes Saatgut beseitigt werden."
105,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 4 Punkte reduziert werden."
106,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
107,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle."
108,"Maximal 3 Behandlungen pro Kultur."
109,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
110,"Keine Anwendung, wenn ungeschützte Personen der Drift ausgesetzt sein könnten."
111,"Maximal 1 Behandlung pro Kultur mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält."
112,"Maximal 3 Behandlungen pro Parzelle und Jahr."
113,"SPe 1 - Zum Schutz von Grundwasser insgesamt nicht mehr als 10 Anwendungen mit Captan-haltigen Produkten pro  Parzelle und Jahr."
114,"Keine Anwendung unter Flachabdeckung."
115,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine)."
116,"Phytotoxschäden bei empfindlichen Arten oder Sorten möglich; vor allgemeiner Anwendung Versuchspritzung durchführen."
117,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 3 Mal pro  Parzelle und Jahr ausgebracht werden."
118,"Nach Abschluss der Behandlungszeit: Gewächshaus vor dem Wiederbetreten gründlich lüften."
119,"Behandlung nach Bedarf wiederholen."
120,"Nachfolgearbeiten in behandelten Kulturen: mindestens langärmliges Hemd + lange Hose + festes Schuhwerk tragen."
121,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
122,"Bei Frühkartoffeln 1 Woche Wartefrist."
123,"Information, damit Dritte die Parzelle nicht betreten."
124,"Keine Niederschläge während mindestens einer Stunde nach der Behandlung."
125,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 1 kg des Wirkstoffs Metazachlor pro ha auf der gleichen Parzelle innerhalb von 3 Jahren anwenden."
126,"Splitbehandlung (angegebene Aufwandmenge entspricht total bewilligter Menge)."
127,"Anwendung bei Bodentemperaturen von mindestens 10°C."
128,"Behandlungen im Abstand von 7 Tagen."
129,"Bei der Anwendung des Mittels Schutzbrille tragen."
130,"Höchstens 0.4 g Kupfer-Metall je m² und Jahr."
131,"Keine Behandlung von Tafeltrauben."
132,"Vorsicht: Schäden an Nutz- und Zierpflanzen möglich! Genügend seitlichen Abstand von deren Wurzelbereich einhalten (Abstand abhängig von Bodenart und Geländeneigung)."
133,"Zum Schutz von Dritten eine unbehandelte Pufferzone von 6 m zu Wohnflächen und öffentlichen Anlagen einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
134,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
135,"Maximal 1 Behandlung pro Jahr."
136,"Luftapplikation."
137,"Wasserlösliche Folienbeutel nicht mit nassen Schutzhandschuhen berühren"
138,"Die Wirksamkeit dieses Präparates wurde nicht für alle Indikationen geprüft."
139,"Maximal 4 Behandlungen pro Jahr."
140,"Vorsicht wegen Phytotoxizität!"
141,"Behandlung spätestens bis Ende August. Es dürfen keine grünen Teile der Kulturpflanzen mit dem Herbizid in Kontakt kommen."
142,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 4 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC G1 (Sterolsynthesehemmer, SSH)."
143,"Spritzungen mit Akariziden, die Clofentezin und Hexythiazox enthalten, führen vermehrt zu Resistenzen: Deshalb ist in einer Parzelle pro Saison nur eine Behandlung mit Mitteln aus dieser Gruppe durchzuführen."
144,"Maximal 6 Behandlungen pro Kultur."
145,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC Nr.11."
146,"SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen). Darf nicht angewendet werden, wenn sich blühende Pflanzen in benachbarten Parzellen befinden. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind."
147,"Behandlung von im Frühling gesäten Kulturen."
148,"Boden nach Anwendung einige Tage gut feucht halten. Nicht bei Sonnenlicht behandeln (abends oder bei Bewölkung)."
149,"Bis spätestens Ende September."
150,"Hinweis auf potentiellen Wiederaustrieb von mehrjährigen Unkräutern und Ungräsern."
151,"Keine Wirkung auf Klebern und Korbblütler wie Franzosenkraut, Kamille und Kreuzkraut."
152,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 3 Mal pro Kultur ausgebracht werden."
153,"Vorsicht! Bei der Herstellung der Spritzbrühe muss darauf geachtet werden, dass nicht zu viel Schaum gebildet wird, gegebenenfalls muss die Rührintensität entsprechend reduziert werden."
154,"Als Zusatz zu den durch die Firma zu bestimmenden Fungiziden und Insektiziden."
155,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
156,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
157,"Bei der Anwendung des Mittels mindestens Schutzhandschuhe + langärmliges Hemd + lange Hose tragen."
158,"SPe 3: Zum Schutz von Nichtzielarthropoden vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
159,"1. Behandlung bei Befallsbeginn, regelmässige Behandlungen in Abständen von 7-10 Tagen."
160,"Ansetzen der Spritzbrühe: Schutzbrille + Atemschutzmaske (A2) tragen."
161,"Der Anwender muss informiert werden, dass sich die Wirkung gegen mehrjährige Ungräser, insbesondere die Quecke, in der Regel nicht über die Dauer der behandelten Kultur erstreckt."
162,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 1.5 kg des Wirkstoffs S-Metolachlor pro ha auf der gleichen Parzelle innerhalb von 3 Jahren anwenden."
163,"SPe 3: Zum Schutz von Nichtzielarthropoden vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
164,"SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen)."
165,"Gute Isolation (mindestens 100 m von unbehandelten Beständen)."
166,"Pflanzen bei Bedarf allseitig gut benetzen. Behandlung nach 2-3 Wochen bei Bedarf wiederholen."
167,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen."
168,"Das Produkt ist im Dunkeln bei 5°C-25°C zu lagern. Eine angebrochene Packung muss innerhalb von 4 Wochen aufgebraucht werden."
169,"Gemäss Chemikalien-Risikoreduktions-Verordnung (ChemRRV, Anhang 2.5): Nur Einzelpflanzenbehandlung anderweitig nicht bekämpfbarer Problempflanzen auf Böschungen und Grünstreifen entlang von Strassen und Gleisanlagen."
170,"Nachbau anderer Kulturen: 16 Wochen Wartefrist."
171,"Niedrige Aufwandmenge nur in Tankmischung gemäss den Angaben der Bewilligungsinhaberin."
