"id","obligation","count"
36,"Zum Schutz von Dritten eine unbehandelte Pufferzone von 3 m zu Wohnflächen und öffentlichen Anlagen einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",147
37,"Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose)  tragen.",142
38,"Nur in einem Spritztank bei laufendem Rührwerk anwenden.",140
39,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",138
40,"Maximal 2 Behandlungen pro Parzelle und Jahr.",136
41,"Das Zeitintervall zwischen zwei aufeinanderfolgenden Behandlungen beträgt mindestens 14 Tage.",130
42,"Einzelpflanzenbehandlung.",130
43,"Mittel ist giftig für Haustiere. Haustiere von Produktpackungen fernhalten.",128
44,"Zum Schutz von wildlebenden Säugern und Vögeln Produkt nicht in Häufchen auslegen. Verschüttetes Granulat sofort zusammenkehren und entfernen.",128
45,"Nachfolgearbeiten in behandelten Kulturen: Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) tragen.",126
46,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 100 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle.",126
47,"Behandlungen im Abstand von 7-14 Tagen.",125
48,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene unbehandelte Pufferzone von mindestens 6 m zu Oberflächengewässern einhalten. Ausnahmen sind in den Weisungen der Zulassungsstelle festgelegt.",119
49,"Die angegebene Aufwandmenge bezieht sich auf Stadium ""50 - 90% der Blütenstände mit sichtbaren Früchten"" sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen.",118
50,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 3 Punkte reduziert werden.",118
51,"Die angegebene Aufwandmenge bezieht sich auf Stadium ""Vollblüte bis Beginn Rotfärbung der Früchte"", 4 Pflanzen pro m² sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen.",117
52,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 50 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",116
53,"Zum Schutz von wildlebenden Säugern und Vögeln nicht mehr als 700 g des Wirkstoffes Metaldehyd pro ha auf derselben Parzelle innerhalb eines Jahres anwenden.",116
54,"Maximal 2 Behandlungen pro Kultur.",115
55,"Für Sommerhimbeeren bezieht sich die angegebene Aufwandmenge auf Stadium ""Erste Blüten bis etwa 50% der Blüten offen"" sowie eine Referenzbrühmenge  von 1000 l/ha. Für Herbsthimbeeren bezieht sich die Aufwandmenge auf eine Heckenhöhe von 150 - 170 cm sowie eine Referenzbrühmenge  von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen.",114
56,"Behandlung spätestens bis Ende August. Es dürfen keine grünen Pflanzenteile und keine Reben mit niederen Schnittsystemen (Gobelets und tiefe Cordons usw.) behandelt werden.",113
57,"Im Spritztank bei laufendem Rührwerk anwenden. Bei Spritzgeräten ohne Rührwerk Brühe regelmässig schütteln/rühren.",113
58,"Nur gegen junge Larvenstadien.",111
59,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (A2) tragen.",109
60,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle.",105
61,"Splitbehandlung möglich (angegebene Aufwandmenge entspricht total bewilligter Menge).",104
62,"Bei der Anwendung des Mittels Schutzhandschuhe tragen.",103
63,"Beweidung oder Schnitt (Grünfutter oder Konservierung) frühestens 3 Wochen nach der Behandlung. Ausnahme: Für nicht laktierende Tiere beträgt die Wartefrist 2 Wochen.",101
64,"Bei Verwendung eines Handspritzgeräts sind bei der Applikation des Mittels Schutzhandschuhe zu tragen.",100
65,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 3 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",99
66,"Für Brombeeren bezieht sich die angegebene Aufwandmenge auf Stadium ""Erste Blüten bis etwa 50% der Blüten offen"" sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen.",98
67,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).",98
68,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",98
69,"Nachfolgearbeiten in behandelten Kulturen: Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) tragen.",97
70,"Befüllen der Maschinen mit dem Granulat: Schutzhandschuhe tragen. Ausbringen des Granulats: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",95
71,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",94
72,"Die Wirksamkeit dieses Präparates ist stark abhängig von den Anwendungsbedingungen (z.B. Temperatur, Feuchtigkeit, Kultur, Substrat etc.).",94
73,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 50 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle.",88
74,"Behandlung bis spätestens 2 Wochen vor der Saat oder Pflanzung.",86
75,"Behandlungen im Abstand von mindestens 7 Tagen.",85
76,"Behandlungen im Abstand von 7-10 Tagen.",84
77,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (A2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",82
78,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",80
79,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",80
80,"Behandlung von im Herbst gesäten Kulturen.",80
81,"Die Etiketten von Säcken mit behandeltem Saatgut sind mit folgender Angabe zu versehen: ""Öffnen der Saatgutsäcke und Beladen der Sämaschine nur mit Schutzhandschuhen. Entwicklung und Einatmen von Staub vermeiden.""",80
82,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).",79
83,"Zusatz zu den durch die Firma zu bestimmenden Mischungspartnern.",73
84,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",71
85,"Spritzen.",71
86,"Auch für die Luftapplikation.",69
87,"Keine Anwendung zusammen mit einem Sojalecithin-haltigen Haft- oder Netzmittel.",69
88,"Maximal 6 kg Kupfer-Metall je Hektar und Jahr; innert 5 aufeinanderfolgender Jahre maximal 20 kg Kupfer-Metall je Hektar (Kupferbilanzierung).",67
89,"2-3 Behandlungen im Abstand von 8 Tagen.",64
90,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",63
91,"Nur an Tagen mit Tagestemperaturen zwischen 10 und 20°C und Nachttemperaturen über 5°C anwenden.",62
92,"Nur gegen Larvenstadien.",62
93,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",62
94,"Beim Ansetzen der Spritzbrühe müssen Schutzhandschuhe getragen werden.",61
95,"Pflanzen allseitig gut benetzen, da Wirkung nur bei direktem Kontakt.",61
96,"Maximal 2 Behandlungen pro Kultur und Jahr.",60
97,"Maximal 3 Behandlungen pro Jahr.",60
98,"Das Produkt kann Schäden an der Kultur hervorrufen. Es sind die vom Bewilligungsinhaber festgelegten Vorsorgemassnahmen einzuhalten.",59
99,"In Tankmischung mit organischen Fungiziden genügt die Hälfte der aufgeführten Konzentration.",59
100,"Als Zusatz zu den durch die Firma zu bestimmenden Herbiziden.",58
101,"Vor Gebrauch schütteln.",57
102,"Einzelpflanzenbehandlung gemäss Direktzahlungsverordnung (DZV).",56
103,"Maximal 2 Behandlungen pro Parzelle und Jahr mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",56
104,"Die Etiketten von Säcken mit behandeltem Saatgut sind mit folgenden Angaben zu versehen:  - Gebeiztes Saatgut. Nicht einnehmen! Überreste dürfen (auch gewaschen) nicht als Futter oder Lebensmittel verwendet werden. - Die Handelsbezeichnung, Wirkstoff(e), sowie die Sicherheitshinweise des Saatbeizmittels. - Zum Schutz von Vögeln und wildlebenden Säugetieren muss das behandelte Saatgut vollständig in den Boden eingearbeitet werden; es ist sicherzustellen, dass das behandelte Saatgut auch am Ende der Saatreihen vollständig in den Boden eingearbeitet ist. - Zum Schutz von Vögeln und wildlebenden Säugetieren muss verschüttetes Saatgut beseitigt werden.",55
105,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 4 Punkte reduziert werden.",52
106,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",51
107,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle.",50
108,"Maximal 3 Behandlungen pro Kultur.",49
109,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",48
110,"Keine Anwendung, wenn ungeschützte Personen der Drift ausgesetzt sein könnten.",48
111,"Maximal 1 Behandlung pro Kultur mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",47
112,"Maximal 3 Behandlungen pro Parzelle und Jahr.",47
113,"SPe 1 - Zum Schutz von Grundwasser insgesamt nicht mehr als 10 Anwendungen mit Captan-haltigen Produkten pro  Parzelle und Jahr.",47
114,"Keine Anwendung unter Flachabdeckung.",46
115,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).",46
116,"Phytotoxschäden bei empfindlichen Arten oder Sorten möglich; vor allgemeiner Anwendung Versuchspritzung durchführen.",44
117,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 3 Mal pro  Parzelle und Jahr ausgebracht werden.",44
118,"Nach Abschluss der Behandlungszeit: Gewächshaus vor dem Wiederbetreten gründlich lüften.",42
119,"Behandlung nach Bedarf wiederholen.",41
120,"Nachfolgearbeiten in behandelten Kulturen: mindestens langärmliges Hemd + lange Hose + festes Schuhwerk tragen.",41
121,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",40
122,"Bei Frühkartoffeln 1 Woche Wartefrist.",40
123,"Information, damit Dritte die Parzelle nicht betreten.",40
124,"Keine Niederschläge während mindestens einer Stunde nach der Behandlung.",40
125,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 1 kg des Wirkstoffs Metazachlor pro ha auf der gleichen Parzelle innerhalb von 3 Jahren anwenden.",40
126,"Splitbehandlung (angegebene Aufwandmenge entspricht total bewilligter Menge).",40
127,"Anwendung bei Bodentemperaturen von mindestens 10°C.",39
128,"Behandlungen im Abstand von 7 Tagen.",38
129,"Bei der Anwendung des Mittels Schutzbrille tragen.",38
130,"Höchstens 0.4 g Kupfer-Metall je m² und Jahr.",38
131,"Keine Behandlung von Tafeltrauben.",38
132,"Vorsicht: Schäden an Nutz- und Zierpflanzen möglich! Genügend seitlichen Abstand von deren Wurzelbereich einhalten (Abstand abhängig von Bodenart und Geländeneigung).",38
133,"Zum Schutz von Dritten eine unbehandelte Pufferzone von 6 m zu Wohnflächen und öffentlichen Anlagen einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",38
134,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",37
135,"Maximal 1 Behandlung pro Jahr.",37
136,"Luftapplikation.",36
137,"Wasserlösliche Folienbeutel nicht mit nassen Schutzhandschuhen berühren",36
138,"Die Wirksamkeit dieses Präparates wurde nicht für alle Indikationen geprüft.",35
139,"Maximal 4 Behandlungen pro Jahr.",35
140,"Vorsicht wegen Phytotoxizität!",35
141,"Behandlung spätestens bis Ende August. Es dürfen keine grünen Teile der Kulturpflanzen mit dem Herbizid in Kontakt kommen.",34
142,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 4 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC G1 (Sterolsynthesehemmer, SSH).",34
143,"Spritzungen mit Akariziden, die Clofentezin und Hexythiazox enthalten, führen vermehrt zu Resistenzen: Deshalb ist in einer Parzelle pro Saison nur eine Behandlung mit Mitteln aus dieser Gruppe durchzuführen.",34
144,"Maximal 6 Behandlungen pro Kultur.",33
145,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC Nr.11.",33
146,"SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen). Darf nicht angewendet werden, wenn sich blühende Pflanzen in benachbarten Parzellen befinden. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind.",33
147,"Behandlung von im Frühling gesäten Kulturen.",32
148,"Boden nach Anwendung einige Tage gut feucht halten. Nicht bei Sonnenlicht behandeln (abends oder bei Bewölkung).",32
149,"Bis spätestens Ende September.",31
150,"Hinweis auf potentiellen Wiederaustrieb von mehrjährigen Unkräutern und Ungräsern.",31
151,"Keine Wirkung auf Klebern und Korbblütler wie Franzosenkraut, Kamille und Kreuzkraut.",31
152,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der QoI (Quinone outside Inhibitors) nicht mehr als 3 Mal pro Kultur ausgebracht werden.",31
153,"Vorsicht! Bei der Herstellung der Spritzbrühe muss darauf geachtet werden, dass nicht zu viel Schaum gebildet wird, gegebenenfalls muss die Rührintensität entsprechend reduziert werden.",31
154,"Als Zusatz zu den durch die Firma zu bestimmenden Fungiziden und Insektiziden.",30
155,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",30
156,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",30
157,"Bei der Anwendung des Mittels mindestens Schutzhandschuhe + langärmliges Hemd + lange Hose tragen.",30
158,"SPe 3: Zum Schutz von Nichtzielarthropoden vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",30
159,"1. Behandlung bei Befallsbeginn, regelmässige Behandlungen in Abständen von 7-10 Tagen.",29
160,"Ansetzen der Spritzbrühe: Schutzbrille + Atemschutzmaske (A2) tragen.",29
161,"Der Anwender muss informiert werden, dass sich die Wirkung gegen mehrjährige Ungräser, insbesondere die Quecke, in der Regel nicht über die Dauer der behandelten Kultur erstreckt.",29
162,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 1.5 kg des Wirkstoffs S-Metolachlor pro ha auf der gleichen Parzelle innerhalb von 3 Jahren anwenden.",29
163,"SPe 3: Zum Schutz von Nichtzielarthropoden vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",29
164,"SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen).",29
165,"Gute Isolation (mindestens 100 m von unbehandelten Beständen).",28
166,"Pflanzen bei Bedarf allseitig gut benetzen. Behandlung nach 2-3 Wochen bei Bedarf wiederholen.",28
167,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen.",27
